commit	val_L2	val_col%	car_ade	NDS	status	description
baseline	0.5911	0.080	0.6189	0.5217	baseline	sparsedrive_r50_stage2_4gpu_nomap (bs48, 2026-02-17)
20260325	0.5902	0.084	0.6405	0.5239	keep	exp001: plan_loss_reg 1→2, plan_loss_cls 0.5→1 (marginal L2 gain)
20260326	0.6358	0.148	0.6146	0.5158	discard	exp002: motion_loss_reg+cls 0.2→0.5 (both metrics much worse)
20260326b	0.5757	0.100	0.6281	0.5238	keep	exp003: queue_length 4→6 (best L2 so far, col slightly worse)
20260326c	0.5955	0.074	0.6189	0.5239	keep	exp004: num_decoder 6→8 (best obj_box_col, L2 slightly worse than baseline)
20260326d	0.5934	0.126	0.6292	0.5241	discard	exp005: queue6+decoder8 combo (negative synergy, both worse than individual bests)
1e50489	0.5927	0.104	0.6241	0.5236	baseline	mar26 baseline: nomap_queue6 bs48 (queue=6 now in base config)
e6e8521	0.5738	0.099	0.6227	0.5253	keep	exp001: epochs 10→15 (both metrics improved, new best)
06d245d	0.5904	0.094	0.6323	0.5218	keep	exp002: plan_loss_reg 1→2, plan_cls 0.5→1 (new best col=0.094%, L2 behind exp001)
bd7a91a	0.5676	0.091	0.6307	0.5231	keep	exp003: num_det 50→100 (new best BOTH metrics: L2=0.5676, col=0.091%)
49995e7	0.5731	0.120	0.6315	0.5209	discard	exp004: confidence_decay 0.6→0.8 (L2 mid, col WORSE than baseline, FAF +18)
67278f0	0.6109	0.107	0.6286	0.5210	discard	exp005: epochs15+plan_up+det100 combo (negative synergy, worse than baseline on both)
cca6623	0.6274	0.107	0.6313	0.5233	baseline	mar27 baseline: bs24 with-map queue=4 (L2=0.6274, col=0.107%)
eb576cb	0.6159	0.091	0.6261	0.5258	keep	exp001: num_det 50→100 (L2↓1.8%, col↓15%, IDS 990→577, FAF 77→45)
cca6623	0.6230	0.147	0.6406	0.5262	discard	exp002: queue_length 4→6 (L2+1.1%, col+62% vs best — hurts with map head active)
e6643ad	—	—	—	—	crash	exp003: nomap+planup — 3× DDP crash (with_map=False on bs24 base incompatible with DDP)
c70a50e	0.6223	0.110	0.6375	0.5271	discard	exp003b: plan_loss_up only (L2 beats baseline but not exp001; col worsens vs baseline)
36eb2f5	0.6353	0.143	0.6302	0.5255	discard	exp004: epochs 10→15 (WORSE than baseline on both — map head hurts with more training)
